date,temp_mean_c,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,windspeed_kmh,city,latitude,longitude,source,year,month,year_month
2025-10-01,24.8,28.9,21.9,0.4,80,9.0,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-02,23.0,26.8,20.2,26.7,88,7.2,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-03,23.9,27.8,21.1,1.0,82,7.7,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-04,23.7,27.0,21.8,0.8,83,9.4,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-05,23.4,27.6,19.8,0.3,81,7.8,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-06,22.9,26.0,20.2,1.6,83,6.4,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-07,22.5,25.5,20.0,0.3,76,6.7,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-08,22.0,26.2,18.3,6.0,82,6.2,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-09,22.0,26.3,16.4,0.1,77,6.8,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-10,21.8,26.3,17.9,0.0,78,9.4,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-11,20.9,25.8,16.9,0.0,80,9.1,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-12,21.0,26.0,16.1,0.0,81,8.2,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-13,20.8,25.8,16.7,0.1,81,7.8,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-14,20.8,26.3,16.1,0.0,80,8.3,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-15,21.4,26.6,17.2,0.0,80,7.4,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-16,22.6,28.1,19.1,0.0,74,8.3,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-17,22.7,27.6,18.6,0.2,72,7.2,Birendranagar,28.6,81.6167,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
