date,temp_mean_c,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,windspeed_kmh,city,latitude,longitude,source,year,month,year_month
2025-10-01,21.1,26.3,17.4,11.7,87,7.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-02,20.3,22.3,18.6,29.0,92,5.6,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-03,21.1,24.5,18.4,8.6,88,4.9,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-04,18.3,20.2,16.9,90.9,98,9.4,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-05,19.8,24.5,17.0,10.9,88,7.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-06,20.2,24.6,17.2,2.8,88,9.3,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-07,19.5,24.1,17.0,4.8,89,6.7,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-08,19.8,25.4,15.5,3.9,88,8.7,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-09,19.8,24.2,15.8,0.0,85,11.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-10,19.4,23.9,14.6,0.0,76,12.1,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-11,19.4,24.0,15.4,0.0,70,12.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-12,19.2,25.0,14.4,0.0,72,10.8,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-13,19.1,24.3,14.3,0.0,71,9.2,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-14,19.3,25.3,14.3,0.5,74,6.7,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-15,19.6,24.5,14.9,0.3,76,9.6,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-16,19.7,25.5,14.8,0.5,71,7.1,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-17,19.6,24.5,15.1,1.1,79,5.2,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-18,19.4,25.1,14.6,0.1,79,7.4,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-19,19.8,25.6,15.0,0.2,76,8.9,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-20,19.8,25.5,14.7,0.0,72,10.2,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-21,20.2,26.3,14.4,0.0,63,6.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-22,20.4,26.0,15.5,0.0,67,8.4,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-23,19.8,25.3,15.7,2.0,71,8.4,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-24,19.5,25.3,14.5,0.0,71,12.6,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-25,19.3,23.9,13.6,0.0,63,12.2,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-26,18.9,24.3,14.6,0.0,54,10.9,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-27,19.1,24.3,14.9,0.0,57,7.3,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-28,15.5,17.1,14.5,8.8,91,6.6,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-29,17.4,21.7,14.6,0.8,90,6.5,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-30,17.5,20.3,16.2,13.7,91,7.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-10-31,17.7,20.3,16.1,14.3,96,6.8,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,10,2025-10
2025-11-01,17.9,21.5,16.3,7.6,95,6.4,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-02,18.3,22.6,16.1,1.1,89,9.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-03,18.6,23.4,15.3,0.0,83,4.5,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-04,18.4,23.4,14.4,1.3,88,6.0,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-05,18.1,22.9,14.5,0.3,83,8.7,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-06,17.9,22.9,13.8,0.0,76,9.6,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-07,17.3,22.9,14.0,0.0,75,10.3,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-08,16.9,22.7,12.0,0.0,77,9.7,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-09,16.8,22.8,11.7,0.0,74,8.2,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-10,16.2,22.4,11.0,0.0,76,8.1,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-11,14.8,22.0,8.3,0.0,79,10.2,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
2025-11-12,14.7,21.7,8.8,0.0,80,8.8,Kathmandu,27.7172,85.324,Open-Meteo Historical Weather API (open-meteo.com),2025,11,2025-11
