sensor_id,date,rainfall (mm),humidity (%),windspeed (km/h)
14153357,2025-10-01,11.7,87,7.0
14153357,2025-10-02,29.0,92,5.6
14153357,2025-10-03,8.6,88,4.9
14153357,2025-10-04,90.9,98,9.4
14153357,2025-10-05,10.9,88,7.0
14153357,2025-10-06,2.8,88,9.3
14153357,2025-10-07,4.8,89,6.7
14153357,2025-10-08,3.9,88,8.7
14153357,2025-10-09,0.0,85,11.0
14153357,2025-10-10,0.0,76,12.1
14153357,2025-10-11,0.0,70,12.0
14153357,2025-10-12,0.0,72,10.8
14153357,2025-10-13,0.0,71,9.2
14153357,2025-10-14,0.5,74,6.7
14153357,2025-10-15,0.3,76,9.6
14153357,2025-10-16,0.5,71,7.1
14153357,2025-10-17,1.1,79,5.2
14153357,2025-10-18,0.1,79,7.4
14153357,2025-10-19,0.2,76,8.9
14153357,2025-10-20,0.0,72,10.2
14153357,2025-10-21,0.0,63,6.0
14153357,2025-10-22,0.0,67,8.4
14153357,2025-10-23,2.0,71,8.4
14153357,2025-10-24,0.0,71,12.6
14153357,2025-10-25,0.0,63,12.2
14153357,2025-10-26,0.0,54,10.9
14153357,2025-10-27,0.0,57,7.3
14153357,2025-10-28,8.8,91,6.6
14153357,2025-10-29,0.8,90,6.5
14153357,2025-10-30,13.7,91,7.0
14153357,2025-10-31,14.3,96,6.8
14153357,2025-11-01,7.6,95,6.4
14153357,2025-11-02,1.1,89,9.0
14153357,2025-11-03,0.0,83,4.5
14153357,2025-11-04,1.3,88,6.0
14153357,2025-11-05,0.3,83,8.7
14153357,2025-11-06,0.0,76,9.6
14153357,2025-11-07,0.0,75,10.3
14153357,2025-11-08,0.0,77,9.7
14153357,2025-11-09,0.0,74,8.2
14153357,2025-11-10,0.0,76,8.1
14153357,2025-11-11,0.0,79,10.2
14153357,2025-11-12,0.0,80,8.8
14153357,2025-11-13,0.0,84,7.7
14153357,2025-11-14,0.0,81,8.9
14153357,2025-11-15,0.0,83,7.3
14153357,2025-11-16,0.0,83,7.5
14153357,2025-11-17,0.0,78,7.3
14153357,2025-11-18,0.0,74,8.2
14153357,2025-11-19,0.4,82,7.9
14153357,2025-11-20,0.8,84,7.6
14153357,2025-11-21,0.1,86,9.1
14153357,2025-11-22,0.0,82,10.4
14153357,2025-11-23,0.0,79,8.5
14153357,2025-11-24,0.0,80,8.0
14153357,2025-11-25,0.0,73,8.5
14153357,2025-11-26,0.0,73,6.2
14153357,2025-11-27,0.0,68,6.9
14153357,2025-11-28,0.0,65,8.8
14153357,2025-11-29,0.0,64,11.1
14153357,2025-11-30,0.0,73,8.0
14153357,2025-12-01,0.0,83,8.4
14153357,2025-12-02,0.0,83,8.9
14153357,2025-12-03,0.0,81,8.6
14153357,2025-12-04,0.0,78,7.2
14153357,2025-12-05,0.0,83,9.0
14153357,2025-12-06,0.0,80,8.6
14153357,2025-12-07,0.0,80,7.9
14153357,2025-12-08,0.0,81,8.5
14153357,2025-12-09,0.0,81,10.1
14153357,2025-12-10,0.0,77,9.3
14153357,2025-12-11,0.0,72,8.0
14153357,2025-12-12,0.0,70,7.3
14153357,2025-12-13,0.0,72,8.2
14153357,2025-12-14,0.0,75,7.4
14153357,2025-12-15,0.0,70,8.0
14153357,2025-12-16,0.0,71,8.2
14153357,2025-12-17,0.0,68,8.8
14153357,2025-12-18,0.0,70,6.5
14153357,2025-12-19,0.0,72,7.5
14153357,2025-12-20,0.0,79,7.1
14153357,2025-12-21,0.0,79,7.9
14153357,2025-12-22,0.0,81,8.2
