sensor_id,date,rainfall (mm),humidity (%),windspeed (km/h)
14292737,2025-10-01,0.8,76,4.9
14292737,2025-10-02,22.4,88,8.9
14292737,2025-10-03,1.5,82,7.8
14292737,2025-10-04,42.3,92,12.6
14292737,2025-10-05,0.0,86,7.9
14292737,2025-10-06,0.0,85,6.0
14292737,2025-10-07,0.0,81,5.2
14292737,2025-10-08,0.0,82,9.0
14292737,2025-10-09,0.0,80,6.4
14292737,2025-10-10,0.0,73,8.8
14292737,2025-10-11,0.0,67,9.6
14292737,2025-10-12,0.0,70,7.0
14292737,2025-10-13,0.0,74,6.1
14292737,2025-10-14,0.0,71,6.3
14292737,2025-10-15,0.0,71,7.2
14292737,2025-10-16,0.0,70,7.7
14292737,2025-10-17,0.0,72,6.9
14292737,2025-10-18,0.0,73,8.0
14292737,2025-10-19,0.0,71,7.3
14292737,2025-10-20,0.0,67,6.3
14292737,2025-10-21,0.0,75,7.7
14292737,2025-10-22,0.0,72,8.9
14292737,2025-10-23,0.0,73,12.3
14292737,2025-10-24,0.0,68,10.9
14292737,2025-10-25,0.0,68,9.7
14292737,2025-10-26,0.0,64,9.8
14292737,2025-10-27,0.1,65,8.8
14292737,2025-10-28,13.2,88,7.6
14292737,2025-10-29,0.2,72,6.1
14292737,2025-10-30,20.5,93,8.2
14292737,2025-10-31,27.7,95,8.4
14292737,2025-11-01,1.7,90,5.5
14292737,2025-11-02,3.6,91,5.8
14292737,2025-11-03,0.1,85,10.5
14292737,2025-11-04,0.0,82,6.0
14292737,2025-11-05,0.0,77,8.0
14292737,2025-11-06,0.0,66,8.9
14292737,2025-11-07,0.0,65,8.2
14292737,2025-11-08,0.0,68,6.4
14292737,2025-11-09,0.0,72,8.8
14292737,2025-11-10,0.0,75,6.8
14292737,2025-11-11,0.0,81,7.5
14292737,2025-11-12,0.0,87,6.5
14292737,2025-11-13,0.0,84,8.7
14292737,2025-11-14,0.0,81,8.3
14292737,2025-11-15,0.0,77,7.3
14292737,2025-11-16,0.0,77,9.1
14292737,2025-11-17,0.0,76,9.2
14292737,2025-11-18,0.0,70,7.2
14292737,2025-11-19,0.0,75,6.0
14292737,2025-11-20,0.0,71,7.5
14292737,2025-11-21,0.0,68,7.1
14292737,2025-11-22,0.0,71,6.8
14292737,2025-11-23,0.0,74,6.9
14292737,2025-11-24,0.0,77,7.8
14292737,2025-11-25,0.0,66,7.9
14292737,2025-11-26,0.0,65,7.6
14292737,2025-11-27,0.0,61,10.1
14292737,2025-11-28,0.0,60,7.7
14292737,2025-11-29,0.0,70,6.9
14292737,2025-11-30,0.0,78,11.8
14292737,2025-12-01,0.0,86,10.5
14292737,2025-12-02,0.0,89,6.7
14292737,2025-12-03,0.0,85,6.6
14292737,2025-12-04,0.0,84,8.4
14292737,2025-12-05,0.0,83,8.5
14292737,2025-12-06,0.0,79,6.9
14292737,2025-12-07,0.0,83,6.4
14292737,2025-12-08,0.0,78,7.0
14292737,2025-12-09,0.0,71,9.1
14292737,2025-12-10,0.0,78,8.7
14292737,2025-12-11,0.0,65,8.4
14292737,2025-12-12,0.0,66,8.0
14292737,2025-12-13,0.0,70,7.1
14292737,2025-12-14,0.0,70,7.7
14292737,2025-12-15,0.0,71,6.7
14292737,2025-12-16,0.0,70,8.7
14292737,2025-12-17,0.0,67,12.1
